n,y,n,y,y,y,n,n,n,y,a,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,a,republican
a,y,y,a,y,y,n,n,n,n,y,n,y,y,n,n,democrat
n,y,y,n,a,y,n,n,n,n,y,n,y,n,n,y,democrat
y,y,y,n,y,y,n,n,n,n,y,a,y,y,y,y,democrat
n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,n,a,y,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,n,y,y,a,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,a,a,democrat
n,y,n,y,y,n,n,n,n,n,a,a,y,y,n,n,republican
n,y,n,y,y,y,n,n,n,n,y,a,y,y,a,a,republican
n,y,y,n,n,n,y,y,y,n,n,n,y,n,a,a,democrat
y,y,y,n,n,y,y,y,a,y,y,a,n,n,y,a,democrat
n,y,n,y,y,y,n,n,n,n,n,y,a,a,n,a,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,a,n,a,republican
y,n,y,n,n,y,n,y,a,y,y,y,a,n,n,y,democrat
y,a,y,n,n,n,y,y,y,n,n,n,y,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,a,y,y,n,n,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,y,y,n,n,a,y,y,n,n,y,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,n,n,a,a,y,y,democrat
y,a,y,n,n,n,y,y,y,n,n,a,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,a,democrat
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,a,democrat
y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
y,a,n,y,y,y,n,n,n,y,n,y,a,y,n,y,republican
y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,a,n,n,n,n,a,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,a,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,a,democrat
y,y,y,n,n,n,y,y,a,n,y,n,n,n,y,a,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
y,n,y,n,n,n,y,y,a,n,n,n,n,n,n,a,democrat
y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y,democrat
n,a,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
n,y,n,y,y,y,n,a,n,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,a,a,democrat
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
y,y,y,n,n,y,a,y,n,n,y,y,n,y,n,a,democrat
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,republican
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
